English,Afrikaans
the,die 
not,nie 
I,ek 
is,is 
has,het 
you,jy 
a,'n
it,dit 
me,my 
and,en 
we,ons 
what,wat 
your,jou 
of,van 
in,in 
to,te 
he,hy 
for,vir 
his,sy 
but,maar 
go,gaan 
shall,sal 
can,kan 
about,om 
dish,dis 
so,so 
you,u 
with,met 
that,dat 
they,hulle 
as,as 
wash,was 
yes,ja 
come,kom 
must,moet 
now,nou 
here,hier 
there,daar 
on,op 
will,wil 
after,na 
him,hom 
know,weet 
her,haar 
on,aan 
be,wees 
only,net 
no,nee 
do,doen 
yet,nog 
well,goed 
then,dan 
how,hoe 
also,ook 
become,word 
youth,s 
see,sien 
you,julle 
late,laat 
bee,by 
every,al 
say,sê 
say,se 
very,baie 
this,hierdie 
as,soos 
make,maak 
think,dink 
or,of 
then,toe 
where,waar 
over,oor 
everything,alles 
one,een 
nothing,niks 
out,uit 
keep,hou 
stay,bly 
something,iets 
why,waarom 
who,wie 
more,meer 
would,sou 
gain,kry 
look,kyk 
good,goeie 
man,man 
thank you,dankie 
again,weer 
by,deur 
yet,tog 
talk,praat 
give,gee 
day,dag 
tell,vertel 
no,geen 
work,werk 
have,hê 
away,weg 
never,nooit 
well,wel 
everyone,almal 
right,reg 
could,kon 
people,mense 
life,lewe 
wait,wag 
always,altyd 
back,terug 
wanted to,wou 
death,dood 
sit,sit 
mother,ma 
that,daardie 
do not,moenie 
o,o 
said,gesê 
bit,bietjie 
other,ander 
together,saam 
pretty,mooi 
help,help 
may,mag 
ask,vra 
corpse,lyk 
before,voor 
majesty,majesteit 
time,tyd 
please,asseblief 
woman,vrou 
chin,ken 
to,tot 
God,god 
really,regtig 
somebody,iemand 
big,groot 
sure,seker 
take,neem 
two,twee 
because,want 
first,eers 
necessary,nodig 
child,kind 
off,af 
sorry,jammer 
perhaps,miskien 
hear,hoor 
better,beter 
start,begin 
done,gedoen 
sir,meneer 
else,anders 
year,jaar 
happen,gebeur 
saw,gesien 
understand,verstaan 
loose,los 
dad,pa 
try,probeer 
father,vader 
house,huis 
each,elke 
natural,natuurlik 
because,omdat 
had to,moes 
tall,lank 
Mr,mnr 
tomorrow,môre 
happy,gelukkig 
believe,glo 
quick,gou 
first,eerste 
human,mens 
alone,alleen 
children,kinders 
name,naam 
love,lief 
play,speel 
son,seun 
enough,genoeg 
nobody,niemand 
stand,staan 
thought,gedink 
without,sonder 
forget,vergeet 
bird,voel 
sleep,slaap 
listen,luister 
love,liefde 
even,selfs 
lord,heer 
small,klein 
wrong,verkeerd 
today,vandag 
mean,bedoel 
new,nuwe 
this,daarvan 
search,soek 
money,geld 
against,teen 
willing,graag 
why,hoekom 
stop,stop 
t,t 
self,self 
under,onder 
bring,bring 
oh,ag 
Dear,liewe 
eat,eet 
remember,onthou 
old,ou 
stop,keer 
had,gehad 
de,de 
find,vind 
place,plek 
country,land 
mother,moeder 
when,wanneer 
quiet,stil 
days,dae 
came,gekom 
Mom,mamma 
excuse,verskoon 
knew,geweet 
write,skryf 
sissi,sissi 
got,gekry 
meet,ontmoet 
read,lees 
drink,drink 
use,gebruik 
nice,lekker 
own,eie 
night,nag 
each other,mekaar 
room,kamer 
goodbye,totsiens 
file,leer 
happiness,geluk 
which,watter 
friend,vriend 
lose,verloor 
anna,anna 
pair,paar 
last,laaste 
whole,hele 
afraid,bang 
become,raak 
later,later 
fit,pas 
heart,hart 
all,alle 
alter,verander 
heard,gehoor 
maybe,dalk 
sing,sing 
world,wêreld 
made,gemaak 
following,volgende 
hope,hoop 
best,beste 
girl,meisie 
eyes,oë 
immediately,dadelik 
friends,vriende 
take,vat 
much,veel 
crazy,gek 
head,kop 
live,leef 
madame,madame 
me,me 
things,dinge 
became,geword 
ago,gelede 
go,loop 
any,enige 
daughter,dogter 
open,oop 
grandfather,oupa 
pay,betaal 
pick,haal 
marry,trou 
Lord,here 
mean,beteken 
lie,lê 
set,stel 
doctor,dokter 
show,wys 
far,ver 
visit,besoek 
same,dieselfde 
family,familie 
sell,verkoop 
for that,daarvoor 
three,drie 
should,behoort 
easy,maklik 
gibbs,gibbs 
case,saak 
sick,siek 
rather,liewer 
ready,gereed 
asked,gevra 
behind,agter 
home,huistoe 
bad,sleg 
Franz,franz 
about it,daaroor 
young,jong 
highness,hoogheid 
writing,geskryf 
hand,hand 
the,the 
finished,klaar 
